sample_id,source_type,label,final_decision,action,effective_confidence,penalty,chosen_agent,combined_confidence,agreement,votes_malicious,votes_benign,max_imputed_ratio,max_imputed_features,chosen_imputed_ratio,chosen_imputed_features
DYNAMIC-00000,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00001,dynamic,1,1,ALLOW,0.9941922926301392,0.0,ada_dynamic,0.9941922926301392,True,2,0,0.0,0,0.0,0
DYNAMIC-00002,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00003,dynamic,1,1,ALLOW,0.9984892610602333,0.0,ada_dynamic,0.9984892610602333,True,2,0,0.0,0,0.0,0
DYNAMIC-00004,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00005,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00006,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00007,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00008,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00009,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00010,dynamic,1,1,ALLOW,0.9959729243656126,0.0,ada_dynamic,0.9959729243656126,True,2,0,0.0,0,0.0,0
DYNAMIC-00011,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00012,dynamic,1,1,ALLOW,0.9950532667499186,0.0,ada_dynamic,0.9950532667499186,True,2,0,0.0,0,0.0,0
DYNAMIC-00013,dynamic,1,1,ALLOW,0.995354974275258,0.0,ada_dynamic,0.995354974275258,True,2,0,0.0,0,0.0,0
DYNAMIC-00014,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00015,dynamic,1,1,ALLOW,0.9556432551671848,0.0,gb_dynamic,0.9556432551671848,True,2,0,0.0,0,0.0,0
DYNAMIC-00016,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00017,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00018,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00019,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00020,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00021,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00022,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00023,dynamic,1,1,ALLOW,0.9984891097059336,0.0,ada_dynamic,0.9984891097059336,True,2,0,0.0,0,0.0,0
DYNAMIC-00024,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00025,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00026,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00027,dynamic,1,1,ALLOW,0.9955190690558535,0.0,gb_dynamic,0.9955190690558535,True,2,0,0.0,0,0.0,0
DYNAMIC-00028,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00029,dynamic,1,1,ALLOW,0.9876712309418164,0.0,ada_dynamic,0.9876712309418164,True,2,0,0.0,0,0.0,0
DYNAMIC-00030,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00031,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00032,dynamic,1,1,ALLOW,0.9979340495328098,0.0,ada_dynamic,0.9979340495328098,True,2,0,0.0,0,0.0,0
DYNAMIC-00033,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00034,dynamic,1,1,ALLOW,0.9983608540743331,0.0,ada_dynamic,0.9983608540743331,True,2,0,0.0,0,0.0,0
DYNAMIC-00035,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00036,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00037,dynamic,1,1,ALLOW,0.995354974275258,0.0,ada_dynamic,0.995354974275258,True,2,0,0.0,0,0.0,0
DYNAMIC-00038,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00039,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00040,dynamic,1,1,ALLOW,0.9984052022356406,0.0,ada_dynamic,0.9984052022356406,True,2,0,0.0,0,0.0,0
DYNAMIC-00041,dynamic,1,1,ALLOW,0.9978847840379321,0.0,ada_dynamic,0.9978847840379321,True,2,0,0.0,0,0.0,0
DYNAMIC-00042,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00043,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00044,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00045,dynamic,1,1,ALLOW,0.9955188055831038,0.0,gb_dynamic,0.9955188055831038,True,2,0,0.0,0,0.0,0
DYNAMIC-00046,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00047,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00048,dynamic,1,1,ALLOW,0.9972209475034837,0.0,ada_dynamic,0.9972209475034837,True,2,0,0.0,0,0.0,0
DYNAMIC-00049,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00050,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00051,dynamic,1,1,ALLOW,0.9979930313077642,0.0,ada_dynamic,0.9979930313077642,True,2,0,0.0,0,0.0,0
DYNAMIC-00052,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00053,dynamic,1,1,ALLOW,0.9762803893137373,0.0,ada_dynamic,0.9762803893137373,True,2,0,0.0,0,0.0,0
DYNAMIC-00054,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00055,dynamic,1,1,ALLOW,0.9449151891454424,0.0,gb_dynamic,0.9449151891454424,True,2,0,0.0,0,0.0,0
DYNAMIC-00056,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00057,dynamic,1,1,ALLOW,0.9984891097059336,0.0,ada_dynamic,0.9984891097059336,True,2,0,0.0,0,0.0,0
DYNAMIC-00058,dynamic,1,1,ALLOW,0.990688550971862,0.0,gb_dynamic,0.990688550971862,True,2,0,0.0,0,0.0,0
DYNAMIC-00059,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00060,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00061,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00062,dynamic,1,1,ALLOW,0.9984891097059336,0.0,ada_dynamic,0.9984891097059336,True,2,0,0.0,0,0.0,0
DYNAMIC-00063,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00064,dynamic,1,1,ALLOW,0.995354974275258,0.0,ada_dynamic,0.995354974275258,True,2,0,0.0,0,0.0,0
DYNAMIC-00065,dynamic,1,1,ALLOW,0.9950532667499186,0.0,ada_dynamic,0.9950532667499186,True,2,0,0.0,0,0.0,0
DYNAMIC-00066,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00067,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00068,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00069,dynamic,1,1,ALLOW,0.9909795251412814,0.0,ada_dynamic,0.9909795251412814,True,2,0,0.0,0,0.0,0
DYNAMIC-00070,dynamic,0,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00071,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00072,dynamic,1,1,ALLOW,0.9442900019155555,0.0,gb_dynamic,0.9442900019155555,True,2,0,0.0,0,0.0,0
DYNAMIC-00073,dynamic,1,0,NO_ACTION,0.5041947022501162,0.0,ada_dynamic,0.5041947022501162,True,0,2,0.0,0,0.0,0
DYNAMIC-00074,dynamic,1,1,ALLOW,0.998361778156976,0.0,ada_dynamic,0.998361778156976,True,2,0,0.0,0,0.0,0
