sample_id,source_type,label,final_decision,action,effective_confidence,penalty,chosen_agent,combined_confidence,agreement,votes_malicious,votes_benign,max_imputed_ratio,max_imputed_features,chosen_imputed_ratio,chosen_imputed_features
STATIC-00000,static,1,1,REVIEW,0.650240137589825,0.0,gb_static,0.650240137589825,True,2,0,0.0,0,0.0,0
STATIC-00001,static,1,1,ALLOW,0.7622161625687027,0.0,gb_static,0.7622161625687027,True,2,0,0.0,0,0.0,0
STATIC-00002,static,1,1,ALLOW,0.7870815331597545,0.0,gb_static,0.7870815331597545,True,2,0,0.0,0,0.0,0
STATIC-00003,static,1,1,REVIEW,0.7336262045668063,0.0,gb_static,0.7336262045668063,True,2,0,0.0,0,0.0,0
STATIC-00004,static,0,0,REVIEW,0.6393424952038362,0.0,gb_static,0.6393424952038362,True,0,2,0.009900990099009901,2,0.009900990099009901,2
STATIC-00005,static,1,1,REVIEW,0.5291327759414595,0.0,gb_static,0.5291327759414595,True,2,0,0.0,0,0.0,0
STATIC-00006,static,1,1,ALLOW,0.8115590441276727,0.0,gb_static,0.8115590441276727,True,2,0,0.0,0,0.0,0
STATIC-00007,static,1,1,ALLOW,0.8299621322261843,0.0,gb_static,0.8299621322261843,True,2,0,0.0,0,0.0,0
STATIC-00008,static,1,1,REVIEW,0.6794319658470169,0.0,gb_static,0.6794319658470169,True,2,0,0.0,0,0.0,0
STATIC-00009,static,0,0,REVIEW,0.6900088101155019,0.0,gb_static,0.6900088101155019,True,0,2,0.009900990099009901,2,0.009900990099009901,2
STATIC-00010,static,1,1,ALLOW,0.8449202165498754,0.0,gb_static,0.8449202165498754,True,2,0,0.0,0,0.0,0
STATIC-00011,static,1,1,REVIEW,0.7133362486228041,0.0,gb_static,0.7133362486228041,True,2,0,0.0,0,0.0,0
STATIC-00012,static,1,1,REVIEW,0.7209954215969631,0.0,gb_static,0.7209954215969631,True,2,0,0.0,0,0.0,0
STATIC-00013,static,1,1,REVIEW,0.5712221889146649,0.0,gb_static,0.5712221889146649,True,2,0,0.0,0,0.0,0
STATIC-00014,static,1,1,REVIEW,0.7471496843926551,0.0,gb_static,0.7471496843926551,True,2,0,0.0,0,0.0,0
STATIC-00015,static,1,1,REVIEW,0.704752846497355,0.0,gb_static,0.704752846497355,True,2,0,0.0,0,0.0,0
